Genus	Family	Order	Class	Origin	bodysize	FoodPl	FoodAni	FoodFg	FoodDet	GetFood	IngestFood	ActDay	ActNig	ActTwi	Dispersal	
Co523IH	Sphenophorus	Dryophthoridae	Coleoptera	Insecta	NON_IND	10.45	1	0	0	0	GetHact 	IngestCC	1	1	1	Ldisp
Co569IP	Gyrohypnus	Staphylinidae	Coleoptera	Insecta	NON_IND	8.34	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Ar653IP	Oecobius	Oecobiidae	Araneae	Arachnida	NON_IND	2	0	1	0	0	GetLact 	IngestEDS	1	1	1	Ldisp
Co673IH	Gymnetron	Curculionidae	Coleoptera	Insecta	NON_IND	2.44	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Co682IS	Onthophagus	Scarabaeidae	Coleoptera	Insecta	NON_IND	7.82	1	0	0	0	GetHact 	IngestCC	1	1	1	Hdsip
Ar697IP	Microlinyphia	Linyphiidae	Araneae	Arachnida	NON_IND	4	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Co748IH	Pantomorus	Curculionidae	Coleoptera	Insecta	NON_IND	9.75	1	0	0	0	GetHact 	IngestCC	0	1	0	Ldisp
Ar761IP	Pachygnatha	Tetragnathidae	Araneae	Arachnida	NON_IND	3.38	0	1	0	0	GetLact 	IngestEDS	1	1	1	Hdsip
Co767IP	Oligota	Staphylinidae	Coleoptera	Insecta	NON_IND	1	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co769IS	Heteroderes	Elateridae	Coleoptera	Insecta	NON_IND	6.55	1	0	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co772IS	Gen	Scarabaeidae	Coleoptera	Insecta	NON_IND	4.19	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Co777IS	Gen	Anthicidae	Coleoptera	Insecta	NON_IND	2.63	1	1	1	0	GetHact 	IngestCC	1	1	1	Hdsip
He818IH	Dysaphis	Aphididae	Hemiptera	Insecta	NON_IND	2.5	1	0	0	0	GetHact 	IngestPS	1	0	0	Hdsip
Co828IS	Carpophilus	Nitidulidae	Coleoptera	Insecta	NON_IND	3.22	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Co885IP	Oxytelus	Staphylinidae	Coleoptera	Insecta	NON_IND	5	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co935IH	Sitona	Curculionidae	Coleoptera	Insecta	NON_IND	4.27	1	0	0	0	GetHact 	IngestCC	0	0	1	Hdsip
Co949IH	Tychius	Curculionidae	Coleoptera	Insecta	NON_IND	2	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Co963IS	Cryptophagus	Cryptophagidae	Coleoptera	Insecta	NON_IND	1.64	0	0	1	0	GetHact 	IngestCC	1	1	1	Hdsip
Co974IH	Sitona	Curculionidae	Coleoptera	Insecta	NON_IND	4.74	1	0	0	0	GetHact 	IngestCC	0	0	1	Hdsip
Co980IS	Cryptophagus	Cryptophagidae	Coleoptera	Insecta	NON_IND	2.2	0	0	1	0	GetHact 	IngestCC	1	1	1	Hdsip
Co981IS	Euplectus	Staphylinidae	Coleoptera	Insecta	NON_IND	1.19	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Ar998IP	Zelotes	Gnaphosidae	Araneae	Arachnida	NON_IND	6	0	1	0	0	GetHact 	IngestEDS	0	1	0	Hdsip
Co1003IP	Atheta	Staphylinidae	Coleoptera	Insecta	NON_IND	3.36	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Co1005IS	Cercyon	Hydrophilidae	Coleoptera	Insecta	NON_IND	2.43	0	0	0	1	GetHact 	IngestCC	1	1	1	Hdsip
Ar1014IP	Gen	Salticidae	Araneae	Arachnida	NON_IND	2.95	0	1	0	0	GetHact 	IngestEDS	1	0	0	Hdsip
Co1040IS	Blaps	Tenebrionidae	Coleoptera	Insecta	NON_IND	19.17	1	0	0	1	GetHact 	IngestCC	0	1	0	Ldisp
Co1043IP	Philonthus	Staphylinidae	Coleoptera	Insecta	NON_IND	8.15	0	1	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Le1015IH	Gen	Noctuidae	Lepidoptera	Insecta	NON_IND	21.62	1	0	0	0	GetHact 	IngestCC	0	1	0	Hdsip
Le1IH	Gen	Tortricidae	Lepidoptera	Insecta	NON_IND	16.41	1	0	0	0	GetLact 	IngestCC	1	0	0	Ldisp
Le372IH	Gen	Tortricidae	Lepidoptera	Insecta	NON_IND	9.41	1	0	0	0	GetLact 	IngestCC	1	0	0	Ldisp
Le410IH	Gen	Tortricidae	Lepidoptera	Insecta	NON_IND	11.61	1	0	0	0	GetLact 	IngestCC	1	0	0	Ldisp
Le440IH	Rhopobota	Tortricidae	Lepidoptera	Insecta	NON_IND	5.57	1	0	0	0	GetLact 	IngestCC	1	0	0	Hdsip
Le731IH	Tebenna	Choreutidae	Lepidoptera	Insecta	NON_IND	10	1	0	0	0	GetHact 	IngestCC	1	0	0	Hdsip
Le797IH	Gen	Noctuidae	Lepidoptera	Insecta	NON_IND	22	1	0	0	0	GetHact 	IngestCC	0	1	0	Ldisp
